{'timestamp': '2025-06-24 09:48:28.836191', 'message': '[CRITICAL] Unauthorized SSH login attempt from 192.168.1.200', 'severity': 'high'}
{'timestamp': '2025-06-24 09:48:38.860197', 'message': '[CRITICAL] Unauthorized SSH login attempt from 192.168.1.200', 'severity': 'high'}
{'timestamp': '2025-06-24 09:48:48.866616', 'message': '[CRITICAL] Unauthorized SSH login attempt from 192.168.1.200', 'severity': 'high'}
{'timestamp': '2025-06-24 09:48:58.867660', 'message': '[CRITICAL] Unauthorized SSH login attempt from 192.168.1.200', 'severity': 'high'}
{'timestamp': '2025-06-24 09:49:08.870320', 'message': '[CRITICAL] Unauthorized SSH login attempt from 192.168.1.200', 'severity': 'high'}
{'timestamp': '2025-06-24 09:49:18.871570', 'message': '[CRITICAL] Unauthorized SSH login attempt from 192.168.1.200', 'severity': 'high'}
{'timestamp': '2025-06-24 09:49:28.879596', 'message': '[CRITICAL] Unauthorized SSH login attempt from 192.168.1.200', 'severity': 'high'}
{'timestamp': '2025-06-24 09:49:38.883760', 'message': '[CRITICAL] Unauthorized SSH login attempt from 192.168.1.200', 'severity': 'high'}
{'timestamp': '2025-06-24 09:49:48.890284', 'message': '[CRITICAL] Unauthorized SSH login attempt from 192.168.1.200', 'severity': 'high'}
{'timestamp': '2025-06-24 09:49:58.904003', 'message': '[CRITICAL] Unauthorized SSH login attempt from 192.168.1.200', 'severity': 'high'}
{'timestamp': '2025-06-24 09:50:08.910170', 'message': '[CRITICAL] Unauthorized SSH login attempt from 192.168.1.200', 'severity': 'high'}
{'timestamp': '2025-06-24 09:50:18.941683', 'message': '[CRITICAL] Unauthorized SSH login attempt from 192.168.1.200', 'severity': 'high'}
{'timestamp': '2025-06-24 09:50:28.950569', 'message': '[CRITICAL] Unauthorized SSH login attempt from 192.168.1.200', 'severity': 'high'}
{'timestamp': '2025-06-24 09:50:38.959861', 'message': '[CRITICAL] Unauthorized SSH login attempt from 192.168.1.200', 'severity': 'high'}
{'timestamp': '2025-06-24 09:50:48.973145', 'message': '[CRITICAL] Unauthorized SSH login attempt from 192.168.1.200', 'severity': 'high'}
{'timestamp': '2025-06-24 09:50:58.985498', 'message': '[CRITICAL] Unauthorized SSH login attempt from 192.168.1.200', 'severity': 'high'}
{'timestamp': '2025-06-24 09:51:08.999177', 'message': '[CRITICAL] Unauthorized SSH login attempt from 192.168.1.200', 'severity': 'high'}
{'timestamp': '2025-06-24 09:51:19.012166', 'message': '[CRITICAL] Unauthorized SSH login attempt from 192.168.1.200', 'severity': 'high'}
